"feed_type_code","feed_type_name","dry_yield","residue_dry_yield","main_n","residue_n","c_factor","kc_initial","kc_midseason","kc_late","n_fixation","category","trees_ha","trees_dhb","trees_growth","trees_removal","trees_ha_dbh25","average_dbh25","increase_dbh25","trees_ha_dbh2550","average_dbh2550","increase_dbh2550","trees_ha_dbh50","average_dbh50","increase_dbh50","time_horizon","diameter_breast"
14,"Fustuca arundinacea",12.6,0,0.014,0,0,0.3,0.75,0.75,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Gliricidia",5,0,0.0356,0,0,1.05,1.1,1.1,89,"tree legume",3000,18,2,0,0,0,0,0,0,0,0,0,0,0,0
16,"Glycine max",3.1045,0,0.064,0,0,0.15,1.15,0.6,99.344,"legume",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Groundnut",1.159,2.79274827586207,0.037,0,0.117,0.15,1.15,0.6,38.1979896551724,"legume",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Guava",0,0,0.002,0,0.146,1.05,1.1,1.1,0,"",25,20,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Guazuma ulmifolia",17,0,0.024,0,0,1.05,1.1,1.1,204,"tree legume",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Hedysarum coronarium",5,0,0.032,0,0,0.15,1.1,0.25,80,"legume",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Hordeum vulgare (forage)",6.8,0,0.0072,0,0,0.1,1.1,0.55,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Hordeum vulgare (grain)",0.609,1.584,0.01888,0,0,0.1,1.1,0.55,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Hordeum vulgare (IP)",4.35,1.584,0.01888,0,0,0.1,1.1,0.55,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Hyparrhenia rufa",10.1369863013699,0,0.01,0,0,0.3,0.75,0.75,0,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Ischaemum ciliare",8,0,0.01,0,0,0.3,0.75,0.75,0,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Lablab",1.62184,1.6478263,0.004,0,0,0.15,1.1,0.25,36.200206,"legume",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Leucaena",14,0,0.034,0,0,1.05,1.1,1.1,238,"tree legume",400,18,3,0,0,0,0,0,0,0,0,0,0,0,0
28,"Lolium multiflorum",11.4,0,0.012,0,0,0.3,0.75,0.75,0,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Maize",8.6,3,0.017,0,0.05,0.15,1.15,0.3,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Maize IP",8.6,3,0.017,0,0.05,0.15,1.15,0.3,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Maize-silage",18,0,0.007,0,0.05,0.15,1.15,0.3,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Medicago sativa",12,0,0.032,0,0,0.15,1.1,0.25,192,"legume",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Moringa oleifera",20,0,0.038,0,0,1.05,1.1,1.1,380,"tree legume",80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Musa spp.",5,1.6,0.008,0,0,0.15,1.2,0.7,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"N/A",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Natural pasture",10,0,0.01,0,0.027,0.3,0.75,0.75,0,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Natural trees",0,0,0.005,0,0.73,1.05,1.1,1.1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Panicum maximum",17.0191780821918,0,0.0192,0,0,0.6,1.1,1.05,0,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Paspalum notatum",6.88219178082192,0,0.016,0,0,0.3,0.75,0.75,0,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"Pennisetum purpureum",6,0,0.023,0,0.027,0.6,1.1,1.05,0,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"Pennisetum purpureum-silage",6,0,0.01,0,0,1,1,1,0,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"Pigeon pea",0.85785,2.41750884615385,0.035,0,0.116,0,0,0,36.7699546153846,"tree legume",5000,10,25,0,0,0,0,0,0,0,0,0,0,0,0
43,"Purchased",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Red pepper",0.624,0.067513333333333,0.009,0,0.1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"Rice",1.6,2.40589523809524,0.009,0,0,1.05,1.2,0.75,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Sorghum bicolor (grain)",3.999,8.7892,0.02,0,0.05,0.1,1.1,0.55,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Sorghum bicolor (forage/silage)",13.5,0,0.006,0,0,0.1,1.1,0.55,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Sugarcane",11,1.38433613445378,0.001,0,0.171,0.15,1.2,0.7,0,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Swazi",15,0,0.016,0,0,0.3,0.75,0.75,0,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"Trifolium alexandrinum",4.95,0,0.0416,0,0,0.15,1.1,0.25,102.96,"legume",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Triticum",1.566,2.002,0.0202,0,0,0.1,1.1,0.55,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"Triticum OF",1.566,0.1584,0.0202,0,0,0.1,1.1,0.55,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"Triticum IP",4.35,5.37777777777778,0.0202,0,0,0.1,1.1,0.55,0,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Vicia faba (grain)",1.74,1.8,0.046,0,0,0.15,1.1,0.25,50.82,"legume",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
